Ranking,Country Code,Location,Consumption(GWh/yr),Year,Source,Population,As of,Consumption per capita kWh/yr,Watts
29,NOR,Norway,"131,931",2022 est.,EIA,"5,455,582",2022,24182,2759
63,OMN,Oman,"33,000",2021[4],EIA,"4,520,474",2021[5],7300,833
28,PAK,Pakistan,"132,000",2021[4],EIA,"231,402,112",2021[5],570,65
120,PSE,Palestine,"6,200",2021[4],EIA,"5,133,393",2021[5],1208,138
102,PAN,Panama,"9,500",2021[4],EIA,"4,351,264",2021[5],2183,249
130,PNG,Papua New Guinea,"4,600",2021[4],EIA,"9,949,438",2021[5],462,53
112,PRY,Paraguay,"7,700",2021[4],EIA,"6,703,802",2021[5],1149,131
52,PER,Peru,"52,000",2021[4],EIA,"33,715,464",2021[5],1542,176
34,PHL,Philippines,"98,000",2021[4],EIA,"113,880,336",2021[5],861,98
25,POL,Poland,"158,000",2021[4],EIA,"38,307,724",2021[5],4124,470
54,PRT,Portugal,"48,000",2021[4],EIA,"10,290,109",2021[5],4665,532
76,PRI,Puerto Rico,"17,000",2021[4],EIA,"3,256,030",2021[5],5221,596
56,QAT,Qatar,"45,000",2021[4],EIA,"2,688,239",2021[5],16740,1910
53,ROU,Romania,"51,000",2021[4],EIA,"19,328,558",2021[5],2639,301
4,RUS,Russia,"996,000",2021[4],EIA,"145,102,752",2021[5],6864,783
167,RWA,Rwanda,700,2021[4],EIA,"13,461,891",2021[5],52,6
219,SHN,"Saint Helena, Ascension and Tristan da Cunha",2.79,2018 est.,EIA,"7,795",2016,3126,357
195,KNA,Saint Kitts and Nevis,200,2021[4],EIA,"47,631",2021[5],4199,479
188,LCA,Saint Lucia,300,2021[4],EIA,"179,663",2021[5],1670,191
211,SPM,Saint Pierre and Miquelon,44.64,2018 est.,EIA,"850,890",2016,7479,853
198,VCT,Saint Vincent and the Grenadines,200,2021[4],EIA,"104,340",2021[5],1917,219
202,WSM,Samoa,124,2018 est.,EIA,"197,100",2019,627,72
208,STP,Sao Tome and Principe,80.91,2018 est.,EIA,"215,060",2019,376,43
11,SAU,Saudi Arabia,"329,000",2021[4],EIA,"35,950,396",2021[5],9151,1044
127,SEN,Senegal,"5,300",2021[4],EIA,"16,876,726",2021[5],314,36
64,SRB,Serbia,"31,000",2021[4],EIA,"7,296,771",2021[5],4248,485
171,SYC,Seychelles,600,2021[4],EIA,"106,486",2021[5],5635,643
204,SLE,Sierra Leone,100,2021[4],EIA,"8,420,642",2021[5],12,1
49,SGP,Singapore,"53,000",2021[4],EIA,"5,941,063",2021[5],8921,1018
70,SVK,Slovakia,"26,000",2021[4],EIA,"5,447,621",2021[5],4773,544
86,SVN,Slovenia,"14,000",2021[4],EIA,"2,119,408",2021[5],6606,754
207,SLB,Solomon Islands,98.26,2018 est.,EIA,"669,820",2019,147,17
183,SOM,Somalia,400,2021[4],EIA,"17,065,588",2021[5],23,3
23,ZAF,South Africa,"191,000",2021[4],EIA,"59,392,256",2021[5],3216,367
176,SSD,South Sudan,500,2021[4],EIA,"10,748,278",2021[5],47,5
20,ESP,Spain,"234,000",2021[4],EIA,"47,486,932",2021[5],4928,562
84,LKA,Sri Lanka,"15,000",2021[4],EIA,"21,773,438",2021[5],689,79
91,SDN,Sudan,"13,000",2021[4],EIA,"45,657,204",2021[5],285,33
146,SUR,Suriname,"2,400",2021[4],EIA,"612,989",2021[5],3915,447
152,SWZ,Swaziland,"1,500",2021[4],EIA,"1,192,273",2021[5],1258,144
30,SWE,Sweden,"131,000",2021[4],EIA,"10,467,095",2021[5],12515,1428
